Topic 00		53.833408858965704
	family	3.0343432305532563
	don't	3.0126371036916444
	spread	3.0006793644762797
	hands	2.9992249812720706
	friends	2.9984533490276224
	word	2.9944124361041156
	launched	2.9617469247663335
	step	2.9613138290961474
	big	2.9560616433609646
	grassroots	2.9560354409606133
	lot	5.693936475784341E-4
	folks	4.854856455564345E-4
	feeling	4.7471833112845555E-4
	doesn't	4.2189131220655166E-4
	available	2.2837999656133504E-4
	opportunity	2.0394339438985868E-4
	pay	1.98437240378043E-4
	save	1.9610091081507296E-4
	late	1.8983476042618144E-4
	come	1.7057391524414952E-4


Topic 01		15.265448577363383
	seen	3.0895017554567663
	english	2.995360079178271
	check	2.903512959119518
	reason	2.001775821957034
	there's	2.0003378438881683
	talking	1.9982998428938377
	save	0.18838143302709273
	life	0.026429708629026553
	reasons	0.02198214915357389
	organizations	0.006336617148258701
	lot	0.0025986535574312156
	people	0.002264809817674306
	doesn't	0.001939439281647503
	america	0.0014951818786159564
	folks	0.0010634144343706034
	feeling	0.001020357373334999
	good	9.788423967465416E-4
	right	7.968905102981294E-4
	available	7.900412508413847E-4
	makes	6.591605942199493E-4


Topic 02		102.23946158408538
	reform	11.32531548746276
	millions	10.895029024555548
	opportunity	10.043347493404887
	january	9.998248492886525
	quality	9.987765574711306
	stories	9.973278204927876
	community	0.00685839382309138
	pass	0.0026252300847338403
	you're	0.0014660738942893206
	sure	0.0012277113525461483
	good	0.0011882198002487777
	hard	8.946951962832955E-4
	needs	7.570136788289615E-4
	word	6.931233243996758E-4
	life	6.606923989205797E-4
	help	6.400190092783045E-4
	today	5.835791757749782E-4
	reasons	4.814855639908896E-4
	days	4.3723802715143096E-4
	step	4.3489908663077074E-4


Topic 03		18.05598163739372
	change	6.01647263484828
	u.s	3.999872308911169
	come	2.0189006507485794
	talking	2.000284983134164
	new	1.999662337015405
	brian	1.9993278641585097
	family	0.001180838020545351
	nearly	0.0010296551191885464
	folks	8.631067191731914E-4
	feeling	8.335503098560183E-4
	available	6.63227093290817E-4
	save	5.629245612905022E-4
	lot	5.554585336143748E-4
	let's	5.024355905572014E-4
	pay	4.7847290732663214E-4
	organizations	4.782409801758691E-4
	opportunity	4.7154527930727373E-4
	plan	4.5967697657142345E-4
	late	4.5520028520155525E-4
	website	4.3955938600530043E-4


Topic 04		69.37084956844393
	healthcare.gov	7.99511848828546
	moms	6.99322205994658
	yourmomcares	5.97854157764969
	jonah	4.883672018825724
	feeling	4.106472319596578
	lot	4.061754142721973
	there's	3.9983328854457447
	video	3.2817204340384407
	hill	2.980791429667119
	ends	2.0454355420080397
	protected	1.9991937309727932
	spread	1.9957627022672662
	enrollment	1.9688369858327779
	late	0.10494503595198346
	launched	0.01748657896207357
	today	0.009508927056701637
	obamacare	0.008879248805463117
	people	0.007356725823672786
	started	0.006039905539698933
	new	0.0058208145302518196


Topic 05		9.441755888271167
	uninsured	3.0311768791200335
	u.s	2.9958340727403914
	minimum	2.0090836830616334
	nearly	0.8681047662117616
	plan	0.24185079163391957
	state	0.11021653168669518
	federal	0.0697771954414232
	new	0.04730351509651765
	enrollment	0.03389316091966702
	folks	0.0017405656050701191
	feeling	0.0016343679490989217
	available	0.001324076503662963
	word	0.0010854718566691156
	lot	0.0010644936190913504
	save	0.001061341666974535
	doesn't	8.150874164510631E-4
	pay	8.063346602368015E-4
	family	7.979895421658871E-4
	opportunity	7.978748397546838E-4
	ends	7.353013065535294E-4


Topic 06		20.98305971358869
	friends	2.976691332901091
	makes	2.910141392399779
	right	2.9046701621594724
	you're	2.365776221661415
	pass	1.917339830636039
	today	1.5858944365795944
	know	1.333306625561091
	needs	1.3312295679259776
	obamacare	1.28527336259442
	america	1.2497174036731975
	lot	0.19820367708242992
	doesn't	0.14699508749229026
	good	0.0811865498286321
	organizations	0.07445309170522042
	people	0.06115553706691014
	seen	0.05821111644262848
	person	0.036559393588873626
	community	0.03551602463656387
	help	0.03338072365527191
	sure	0.03302444361589771


Topic 07		23.247546341328
	person	9.808135328588342
	hard	3.5475976034642454
	good	2.7995524312006386
	reasons	2.4748911133087277
	life	2.38222553068704
	seen	0.4146782838134812
	let's	0.2887032427671479
	website	0.2492494374950505
	check	0.23322820036382808
	day	0.19036084915489054
	lot	0.08733111980911755
	save	0.08723467862717517
	doesn't	0.06460799258506923
	new	0.05029876585907361
	organizations	0.04819459656393226
	help	0.04281366875078685
	millions	0.04080996361834193
	community	0.039749002654110396
	weekly	0.027580788454490877
	people	0.022524528931553017


Topic 08		39.650126474748404
	big	5.020734266271219
	grassroots	5.020014928074796
	step	4.7856857226857485
	launched	4.675434373965032
	word	3.0303854732912954
	role	2.0126854512483323
	push	1.995949370624454
	country	1.991329143477373
	final	1.9862108378244077
	sure	1.9432505429356532
	life	1.2793290918135085
	folks	0.23832545530227509
	feeling	0.23089205497150636
	you're	0.16327115669575704
	community	0.06206872330021338
	reform	0.05770629967662868
	pass	0.021905331222682418
	millions	0.0127175896874214
	good	0.009846949470841105
	law	0.007821172886502947


Topic 09		113.97841109394061
	don't	19.014511070536095
	monday	18.996762679450395
	know	18.972733656532
	lot	5.529387500448173E-4
	doesn't	4.0763571741646786E-4
	folks	1.7870550759063725E-4
	feeling	1.7377998213283759E-4
	available	1.1119156140015927E-4
	save	9.359994778336157E-5
	family	8.7509377341629E-5
	check	8.253344213900415E-5
	ends	7.97564880669862E-5
	pay	7.78868353668993E-5
	opportunity	6.627745424762174E-5
	late	6.619711851897993E-5
	let's	6.194285195650477E-5
